itemId,coins,gems,real,productId,level,sale,tag,title,descr
,,,,,,,,,
workshop,,,2,studio.cardesign.premium.workshop,,,,Workshop,Workshop
,,,,,,,,,
prem-shape-1,,,2,studio.cardesign.premium.shapesupgrade,,,,Premium car,Premium car for Shapes style
gr-shapes-2,10000,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
gr-amer-2,10000,,,,,,,,
gr-amer-3,,200,,,,,,,
,,,,,,,,,
,,,,,,,,,
prem-amer-1,,,2,studio.cardesign.premium.americaupgrade1,,,,Premium car,First premium car for American style
prem-amer-2,,,5,studio.cardesign.premium.americaupgrade2,,,,,Second premium car for American style
prem-amer-3,,,7,studio.cardesign.premium.americaupgrade3,,,,,Third premium car for American style
prem-amer-4,,,10,studio.cardesign.premium.americaupgrade4,,,,,Fourth premium car for American style
,,,,,,,,,
,,,,,,,,,
gr-urb-2,10000,,,,,,,,
gr-urb-3,,100,,,,,,,
,,,,,,,,,
,,,,,,,,,
prem-urb-1,,,5,studio.cardesign.premium.urbanupgrade,,,,Premium car,Premium car for Urban style
,,,,,,,,,
gr-gt-2,20000,,,,,,,,
gr-gt-3,,300,,,,,,,
,,,,,,,,,
prem-gt-1,,,,studio.cardesign.premium.gtupgrade1,,,,Premium car,Premium car for GT style
prem-gt-2,,,,studio.cardesign.premium.gtupgrade2,,,,,
prem-gt-3,,,,studio.cardesign.premium.gtupgrade3,,,,,
prem-gt-4,,,,studio.cardesign.premium.gtupgrade4,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
gr-wedge-2,20000,,,,,,,,
gr-wedge-3,,300,,,,,,,
,,,,,,,,,
prem-wedge-1,,,,studio.cardesign.premium.wedgeupgrade1,,,,Premium car,Premium car for Wedge style
prem-wedge-2,,,,studio.cardesign.premium.wedgeupgrade2,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
gr-off-2,20000,,,,,,,,
gr-off-3,,300,,,,,,,
,,,,,,,,,
prem-off-1,,,,studio.cardesign.premium.offupgrade1,,,,Premium car,Premium car for Offroad style
prem-off-2,,,,studio.cardesign.premium.offupgrade2,,,,,
prem-off-3,,,,studio.cardesign.premium.offupgrade3,,,,,
prem-off-4,,,,studio.cardesign.premium.offupgrade4,,,,,
,,,,,,,,,
,,,,,,,,,
ex-tool-width,,1000,,,1,,,,
ex-tun-light813,,100,,,1,,,,
ex-tun-light853,,200,,,1,,,,
ex-tun-light1800,,50,,,1,,,,
ex-tun-grill842,,300,,,1,,,,
ex-tun-grill856,,200,,,1,,,,
ex-tun-grill849,,100,,,1,,,,
ex-tun-backLight803,,50,,,1,,,,
ex-tun-backLight854,,100,,,1,,,,
ex-tun-backLight856,,100,,,1,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
gemtier1,,100,1.99,studio.cardesign.store.gemtier1,,,,Pinch of gems,
gemtier2,,200,3.99,studio.cardesign.store.gemtier2,,,,Handful of gems,
gemtier3,,500,9.99,studio.cardesign.store.gemtier3,,,,Pile of gems,
gemtier4,,1000,14.99,studio.cardesign.store.gemtier4,,,,Sack of gems,
gemtier5,,2500,29.99,studio.cardesign.store.gemtier5,,,,Bunch of gems,
gemtier6,,5000,49.99,studio.cardesign.store.gemtier6,,,,Chest of gems,
gemtier7,,10000,99.99,studio.cardesign.store.gemtier7,,,,Vault of gems,
cointier1,2000,,1.99,studio.cardesign.store.cointier1,,,,Pinch of coins,
cointier2,4000,,3.99,studio.cardesign.store.cointier2,,,,Handful of coins,
cointier3,10000,,9.99,studio.cardesign.store.cointier3,,,,Pile of coins,
cointier4,20000,,14.99,studio.cardesign.store.cointier4,,,,Sack of coins,
cointier5,50000,,29.99,studio.cardesign.store.cointier5,,,,Bunch of coins,
cointier6,100000,,59.99,studio.cardesign.store.cointier6,,,,Chest of coins,
cointier7,200000,,99.99,studio.cardesign.store.cointier7,,,,Vault of coins,
starter-pack-1,0,,1,studio.cardesign.store.starterpack1,,,,Стартовый набор,
