id,name,style,cardWidth,lengthPx,heightPx,lengthHeight,clearanceShareOfHeight,lowerBodyShareOfHeight,cabinHeightShare,hoodShare,cabinShare,rearShare,wheelbaseShare,frontOverhangShare,rearOverhangShare,centerFromFront,cluster
car0006,Saab 99 Turbo 1977,Compact,1500,1321.25,455.52,2.9005,0.1661,0.522,0.3119,0.4464,0.3962,0.1574,0.6142,0.1698,0.216,0.6139,1
car0007,Mazda Cosmo 110S,Compact,1700,1528.32,455.52,3.3551,0.1661,0.522,0.3119,0.3259,0.4438,0.2302,0.6058,0.1584,0.2358,0.617,1
car0008,Toyota Corolla 1966,Compact,1500,1345.98,494.24,2.7233,0.1673,0.5187,0.314,0.2847,0.588,0.1273,0.631,0.1407,0.2283,0.5541,3
car0009,Hillman Imp 1963,Compact,1400,1252.07,494.24,2.5333,0.1389,0.4842,0.3769,0.2485,0.653,0.0985,0.6184,0.1542,0.2274,0.56,4
car0010,Wolseley Hornet MkIII 1968,Compact,1400,1166.83,494.24,2.3609,0.1068,0.4906,0.4026,0.216,0.6847,0.0993,0.6813,0.1171,0.2016,0.5508,2
car0011,Fiat 500C 1949,Compact,1300,1108.65,494.24,2.2431,0.176,0.526,0.298,0.3633,0.4406,0.1961,0.656,0.1368,0.2072,0.6655,1
car0012,Fiat 500D 1960,Compact,1200,1030.61,494.24,2.0852,0.1661,0.4988,0.3351,0.2459,0.6302,0.1239,0.6922,0.1273,0.1806,0.6009,2
car0013,Vespa 400 1957,Compact,1200,1005.66,494.24,2.0348,0.1476,0.484,0.3684,0.2692,0.5553,0.1754,0.6409,0.1776,0.1815,0.643,3
car0014,Alfa Romeo Giulietta Sedan 1954,Compact,1400,1250.84,494.24,2.5308,0.2235,0.4794,0.2971,0.2642,0.5777,0.1581,0.6266,0.1446,0.2288,0.5222,3
car0015,Fiat 1100 1953,Compact,1300,1098.84,494.24,2.2233,0.2041,0.4628,0.3331,0.2761,0.5689,0.155,0.6932,0.1248,0.182,0.5234,2
car0016,Crosley 1948,Compact,1400,1202.24,494.24,2.4325,0.1475,0.5075,0.3451,0.3435,0.5935,0.0629,0.5854,0.1963,0.2183,0.6467,4
